"(12, 2)"
"(40, 29)"
"(53, 6)"
"(50, 40)"
"(48, 38)"
"(44, 25)"
"(45, 53)"
"(51, 20)"
"(16, 38)"
"(43, 35)"
"(0, 11)"
"(45, 40)"
"(15, 55)"
"(24, 53)"
"(50, 25)"
"(14, 24)"
"(27, 4)"
"(47, 44)"
"(27, 2)"
"(31, 6)"
"(39, 8)"
"(15, 52)"
"(43, 49)"
"(34, 38)"
"(27, 8)"
"(48, 0)"
"(40, 52)"
"(39, 24)"
"(28, 9)"
"(49, 18)"
"(52, 3)"
"(45, 5)"
"(15, 6)"
"(16, 8)"
"(2, 23)"
"(22, 7)"
"(48, 17)"
"(5, 1)"
"(14, 24)"
"(0, 46)"
"(8, 53)"
"(15, 31)"
"(21, 49)"
"(18, 6)"
"(32, 46)"
"(46, 18)"
"(22, 15)"
"(41, 24)"
"(55, 28)"
"(36, 18)"
"(24, 11)"
"(34, 44)"
"(9, 39)"
"(27, 6)"
"(32, 22)"
"(24, 22)"
"(21, 19)"
"(27, 10)"
"(29, 44)"
"(11, 35)"
"(11, 32)"
"(4, 29)"
"(54, 36)"
"(19, 39)"
"(36, 7)"
"(23, 16)"
"(22, 27)"
"(16, 12)"
"(48, 22)"
"(28, 33)"
"(16, 20)"
"(54, 20)"
"(15, 23)"
"(7, 38)"
"(35, 15)"
"(34, 10)"
"(43, 5)"
"(3, 17)"
"(15, 10)"
"(16, 0)"
"(19, 19)"
"(39, 30)"
"(46, 47)"
"(46, 48)"
"(32, 11)"
"(5, 38)"
"(40, 26)"
"(46, 8)"
"(5, 44)"
"(14, 18)"
"(47, 2)"
"(42, 3)"
"(47, 8)"
"(25, 44)"
"(1, 8)"
"(55, 5)"
"(29, 7)"
"(38, 22)"
"(45, 21)"
"(24, 34)"
