"(1, 19, 11, 32, 29)"
"(35, 24, 7, 32, 14)"
"(37, 13, 11, 20, 34)"
"(8, 16, 10, 11, 22)"
"(17, 27, 3, 14, 6)"
"(36, 26, 23, 12, 18)"
"(7, 36, 29, 12, 8)"
"(28, 2, 31, 34, 23)"
"(28, 13, 20, 33, 0)"
"(36, 18, 19, 30, 37)"
"(24, 17, 32, 18, 30)"
"(33, 6, 30, 5, 4)"
"(5, 24, 19, 13, 11)"
"(9, 27, 18, 18, 36)"
"(35, 31, 34, 27, 2)"
"(21, 17, 25, 26, 15)"
"(10, 0, 18, 1, 32)"
"(30, 33, 27, 14, 11)"
"(4, 27, 29, 19, 11)"
"(17, 25, 32, 19, 27)"
"(31, 5, 34, 32, 22)"
"(28, 30, 0, 10, 12)"
"(4, 3, 35, 25, 31)"
"(24, 25, 19, 18, 24)"
"(11, 17, 13, 26, 13)"
"(37, 19, 8, 5, 5)"
"(16, 25, 34, 2, 23)"
"(23, 35, 14, 36, 1)"
"(9, 12, 2, 36, 25)"
"(12, 6, 2, 0, 36)"
"(2, 6, 34, 9, 32)"
"(32, 23, 8, 20, 3)"
"(26, 30, 0, 32, 13)"
"(11, 36, 37, 1, 28)"
"(3, 13, 5, 27, 35)"
"(27, 1, 8, 20, 37)"
"(25, 24, 29, 24, 37)"
"(31, 8, 18, 26, 21)"
"(4, 11, 20, 22, 14)"
"(0, 11, 33, 35, 18)"
"(28, 19, 34, 3, 28)"
"(30, 2, 32, 29, 12)"
"(21, 25, 34, 25, 6)"
"(36, 24, 31, 16, 0)"
"(35, 1, 11, 33, 29)"
"(9, 22, 31, 31, 7)"
"(8, 28, 20, 17, 22)"
"(34, 11, 37, 28, 5)"
"(5, 31, 19, 10, 33)"
"(32, 15, 18, 21, 25)"
"(19, 5, 10, 0, 18)"
"(4, 4, 5, 0, 7)"
"(13, 29, 35, 8, 32)"
"(10, 2, 14, 5, 33)"
"(17, 9, 11, 27, 5)"
"(35, 23, 25, 14, 26)"
"(24, 33, 8, 18, 21)"
"(7, 30, 25, 3, 10)"
"(13, 5, 18, 2, 25)"
"(34, 10, 32, 13, 36)"
"(21, 33, 11, 29, 14)"
"(2, 23, 26, 22, 28)"
"(26, 24, 22, 3, 6)"
"(36, 9, 19, 31, 30)"
"(26, 7, 29, 0, 32)"
"(10, 8, 8, 27, 24)"
"(11, 34, 35, 22, 20)"
"(10, 6, 13, 10, 23)"
"(13, 13, 32, 26, 27)"
"(6, 4, 25, 28, 0)"
"(0, 21, 20, 4, 6)"
"(17, 23, 14, 7, 18)"
"(35, 27, 33, 9, 8)"
"(12, 4, 8, 32, 32)"
"(12, 9, 26, 22, 34)"
"(5, 36, 16, 30, 30)"
"(8, 13, 15, 21, 28)"
"(13, 9, 26, 9, 0)"
"(14, 12, 16, 4, 1)"
"(31, 36, 25, 32, 32)"
"(15, 28, 3, 8, 28)"
"(4, 25, 10, 14, 6)"
"(30, 28, 10, 15, 29)"
"(0, 20, 10, 1, 13)"
"(16, 8, 21, 4, 33)"
"(28, 9, 36, 29, 32)"
"(9, 30, 33, 34, 18)"
"(23, 23, 20, 23, 23)"
"(12, 32, 12, 15, 3)"
"(8, 37, 22, 8, 27)"
"(21, 18, 19, 27, 36)"
"(23, 4, 0, 29, 30)"
"(12, 15, 6, 26, 1)"
"(6, 6, 27, 23, 21)"
"(16, 0, 1, 8, 30)"
"(5, 21, 1, 14, 11)"
"(35, 21, 30, 30, 10)"
"(5, 29, 32, 25, 20)"
"(12, 34, 4, 2, 31)"
"(30, 25, 9, 36, 24)"
