"(24, 26, 29)"
"(11, 4, 15)"
"(23, 5, 16)"
"(16, 5, 27)"
"(21, 26, 14)"
"(16, 16, 29)"
"(26, 10, 29)"
"(2, 10, 28)"
"(14, 26, 25)"
"(12, 27, 23)"
"(20, 15, 18)"
"(9, 11, 24)"
"(26, 17, 9)"
"(25, 14, 4)"
"(19, 23, 22)"
"(10, 12, 1)"
"(17, 14, 10)"
"(11, 10, 21)"
"(0, 17, 3)"
"(0, 22, 20)"
"(9, 16, 27)"
"(25, 19, 4)"
"(13, 0, 14)"
"(4, 1, 26)"
"(8, 20, 7)"
"(13, 10, 26)"
"(27, 22, 28)"
"(21, 25, 10)"
"(23, 5, 17)"
"(28, 25, 5)"
"(8, 0, 10)"
"(27, 23, 17)"
"(17, 19, 18)"
"(2, 20, 17)"
"(22, 2, 26)"
"(29, 4, 6)"
"(2, 19, 11)"
"(5, 16, 25)"
"(13, 10, 8)"
"(20, 25, 5)"
"(11, 23, 4)"
"(9, 13, 0)"
"(3, 17, 21)"
"(26, 11, 0)"
"(20, 7, 8)"
"(7, 26, 27)"
"(17, 24, 6)"
"(3, 8, 6)"
"(3, 22, 7)"
"(4, 0, 10)"
"(27, 26, 28)"
"(25, 29, 14)"
"(3, 28, 6)"
"(8, 23, 4)"
"(12, 18, 2)"
"(15, 4, 20)"
"(13, 25, 3)"
"(17, 18, 2)"
"(5, 20, 25)"
"(22, 1, 19)"
"(15, 15, 24)"
"(9, 29, 3)"
"(23, 6, 4)"
"(8, 17, 6)"
"(7, 12, 22)"
"(10, 27, 8)"
"(4, 6, 27)"
"(0, 7, 28)"
"(6, 17, 29)"
"(6, 24, 21)"
"(28, 19, 27)"
"(19, 23, 23)"
"(13, 17, 22)"
"(27, 22, 2)"
"(16, 5, 17)"
"(14, 15, 14)"
"(22, 19, 11)"
"(8, 2, 23)"
"(9, 24, 18)"
"(15, 15, 3)"
"(28, 23, 9)"
"(20, 1, 23)"
"(23, 0, 13)"
"(6, 29, 25)"
"(14, 2, 17)"
"(21, 3, 28)"
"(23, 11, 13)"
"(27, 3, 7)"
"(29, 21, 28)"
"(1, 12, 4)"
"(15, 4, 14)"
"(13, 27, 0)"
"(9, 20, 20)"
"(14, 17, 13)"
"(21, 23, 18)"
"(1, 12, 13)"
"(11, 10, 16)"
"(16, 15, 25)"
"(4, 14, 22)"
"(27, 4, 9)"
