"(34, 32, 27, 23)"
"(30, 27, 10, 0)"
"(17, 16, 35, 0)"
"(15, 8, 7, 0)"
"(10, 12, 24, 2)"
"(29, 7, 17, 5)"
"(36, 14, 32, 34)"
"(10, 18, 33, 19)"
"(35, 18, 7, 1)"
"(12, 19, 30, 35)"
"(31, 28, 22, 5)"
"(35, 1, 12, 29)"
"(21, 13, 4, 25)"
"(16, 29, 18, 12)"
"(8, 12, 27, 23)"
"(28, 31, 25, 30)"
"(19, 2, 30, 34)"
"(2, 22, 5, 12)"
"(26, 27, 35, 34)"
"(32, 34, 10, 16)"
"(13, 1, 28, 0)"
"(11, 6, 8, 8)"
"(1, 30, 6, 1)"
"(19, 1, 10, 14)"
"(16, 31, 36, 15)"
"(22, 11, 22, 2)"
"(11, 17, 17, 36)"
"(1, 21, 22, 22)"
"(29, 4, 15, 34)"
"(26, 10, 4, 28)"
"(13, 20, 18, 12)"
"(36, 29, 10, 2)"
"(14, 5, 0, 19)"
"(1, 8, 2, 17)"
"(22, 0, 12, 17)"
"(35, 11, 32, 27)"
"(13, 31, 12, 25)"
"(23, 19, 34, 17)"
"(28, 25, 20, 32)"
"(23, 23, 29, 30)"
"(16, 29, 0, 26)"
"(12, 3, 27, 34)"
"(5, 16, 11, 3)"
"(5, 30, 10, 17)"
"(1, 10, 10, 25)"
"(26, 26, 5, 24)"
"(4, 4, 32, 36)"
"(6, 25, 33, 5)"
"(10, 33, 14, 13)"
"(4, 29, 33, 4)"
"(11, 1, 21, 13)"
"(29, 18, 31, 20)"
"(14, 11, 15, 30)"
"(35, 20, 30, 11)"
"(17, 10, 6, 15)"
"(8, 12, 15, 27)"
"(26, 13, 30, 12)"
"(10, 9, 16, 27)"
"(6, 25, 15, 19)"
"(24, 31, 15, 17)"
"(1, 23, 6, 25)"
"(5, 31, 5, 15)"
"(36, 1, 35, 8)"
"(6, 11, 9, 8)"
"(26, 9, 23, 35)"
"(28, 6, 36, 17)"
"(14, 18, 0, 1)"
"(1, 18, 0, 23)"
"(36, 7, 3, 22)"
"(3, 11, 11, 22)"
"(10, 23, 30, 1)"
"(8, 4, 3, 13)"
"(7, 32, 32, 28)"
"(1, 3, 9, 22)"
"(8, 3, 35, 35)"
"(15, 5, 31, 26)"
"(35, 28, 33, 32)"
"(2, 12, 25, 16)"
"(28, 6, 12, 29)"
"(16, 29, 30, 0)"
"(7, 15, 7, 22)"
"(4, 11, 25, 24)"
"(7, 7, 9, 19)"
"(36, 23, 22, 7)"
"(24, 36, 9, 0)"
"(28, 23, 6, 29)"
"(18, 21, 33, 30)"
"(7, 21, 36, 26)"
"(13, 34, 6, 25)"
"(2, 20, 29, 5)"
"(23, 18, 19, 17)"
"(27, 12, 14, 16)"
"(3, 15, 24, 21)"
"(7, 23, 0, 24)"
"(29, 2, 12, 13)"
"(31, 26, 27, 15)"
"(22, 10, 15, 26)"
"(7, 27, 34, 0)"
"(29, 6, 16, 16)"
"(4, 25, 7, 3)"
