"(280, 64)"
"(328, 117)"
"(274, 194)"
"(53, 196)"
"(317, 226)"
"(66, 302)"
"(303, 169)"
"(264, 227)"
"(322, 169)"
"(236, 234)"
"(52, 244)"
"(242, 101)"
"(223, 157)"
"(101, 245)"
"(255, 64)"
"(16, 47)"
"(274, 315)"
"(315, 199)"
"(190, 94)"
"(103, 51)"
"(304, 348)"
"(84, 16)"
"(123, 315)"
"(68, 122)"
"(333, 158)"
"(24, 168)"
"(271, 347)"
"(197, 196)"
"(132, 60)"
"(152, 33)"
"(158, 248)"
"(247, 133)"
"(248, 215)"
"(161, 325)"
"(268, 345)"
"(190, 33)"
"(52, 101)"
"(349, 126)"
"(93, 161)"
"(187, 76)"
"(57, 164)"
"(164, 176)"
"(44, 72)"
"(135, 39)"
"(81, 33)"
"(324, 110)"
"(187, 87)"
"(173, 66)"
"(231, 245)"
"(283, 135)"
"(152, 312)"
"(268, 308)"
"(41, 287)"
"(196, 237)"
"(126, 142)"
"(1, 144)"
"(251, 185)"
"(68, 150)"
"(311, 166)"
"(303, 241)"
"(335, 120)"
"(145, 159)"
"(267, 318)"
"(330, 241)"
"(239, 304)"
"(277, 128)"
"(41, 52)"
"(316, 273)"
"(241, 66)"
"(252, 320)"
"(255, 168)"
"(262, 102)"
"(271, 333)"
"(229, 35)"
"(306, 141)"
"(238, 287)"
"(91, 131)"
"(168, 301)"
"(13, 240)"
"(237, 245)"
"(295, 237)"
"(78, 341)"
"(316, 217)"
"(175, 322)"
"(154, 299)"
"(209, 317)"
"(16, 255)"
"(75, 152)"
"(306, 147)"
"(47, 294)"
"(337, 212)"
"(36, 38)"
"(12, 177)"
"(167, 213)"
"(126, 330)"
"(317, 286)"
"(82, 223)"
"(37, 62)"
"(240, 235)"
"(279, 261)"
