"(14, 15, 54)"
"(11, 23, 30)"
"(44, 23, 30)"
"(4, 47, 36)"
"(35, 39, 0)"
"(43, 43, 45)"
"(27, 7, 20)"
"(1, 27, 37)"
"(36, 9, 35)"
"(26, 13, 36)"
"(21, 15, 4)"
"(34, 5, 10)"
"(1, 51, 6)"
"(4, 18, 5)"
"(4, 1, 3)"
"(12, 25, 12)"
"(35, 43, 29)"
"(9, 34, 49)"
"(3, 4, 36)"
"(51, 24, 36)"
"(42, 1, 30)"
"(19, 20, 21)"
"(16, 15, 31)"
"(37, 50, 16)"
"(8, 31, 37)"
"(2, 11, 11)"
"(37, 3, 31)"
"(27, 32, 50)"
"(31, 43, 27)"
"(45, 22, 26)"
"(33, 20, 24)"
"(38, 44, 3)"
"(52, 11, 23)"
"(13, 18, 12)"
"(0, 36, 28)"
"(36, 9, 25)"
"(5, 8, 26)"
"(10, 15, 53)"
"(51, 18, 45)"
"(10, 16, 23)"
"(23, 14, 8)"
"(52, 20, 6)"
"(24, 18, 39)"
"(3, 9, 16)"
"(48, 45, 19)"
"(11, 27, 54)"
"(7, 49, 52)"
"(44, 5, 12)"
"(21, 30, 19)"
"(54, 1, 49)"
"(28, 0, 30)"
"(17, 6, 3)"
"(45, 4, 15)"
"(10, 54, 37)"
"(38, 39, 24)"
"(3, 24, 54)"
"(4, 8, 45)"
"(17, 49, 40)"
"(26, 48, 4)"
"(33, 36, 32)"
"(21, 53, 30)"
"(31, 26, 22)"
"(6, 14, 6)"
"(41, 50, 20)"
"(35, 1, 27)"
"(21, 34, 43)"
"(43, 8, 46)"
"(38, 18, 20)"
"(6, 23, 19)"
"(53, 3, 42)"
"(52, 34, 54)"
"(25, 13, 45)"
"(16, 15, 22)"
"(47, 19, 28)"
"(22, 22, 37)"
"(0, 13, 46)"
"(7, 53, 26)"
"(2, 47, 39)"
"(37, 32, 3)"
"(54, 54, 15)"
"(32, 14, 0)"
"(2, 35, 34)"
"(36, 15, 19)"
"(30, 34, 22)"
"(0, 3, 52)"
"(47, 52, 10)"
"(34, 6, 41)"
"(51, 31, 9)"
"(51, 30, 38)"
"(40, 38, 18)"
"(3, 10, 33)"
"(46, 18, 0)"
"(27, 28, 43)"
"(45, 50, 23)"
"(5, 48, 38)"
"(13, 48, 7)"
"(9, 38, 23)"
"(23, 30, 3)"
"(34, 48, 31)"
"(17, 25, 35)"
