"(47, 12, 54, 8, 13)"
"(21, 16, 44, 31, 13)"
"(5, 17, 15, 49, 23)"
"(40, 4, 2, 50, 18)"
"(17, 47, 37, 26, 3)"
"(54, 30, 47, 20, 49)"
"(27, 19, 7, 3, 32)"
"(3, 18, 0, 50, 18)"
"(53, 25, 17, 21, 49)"
"(16, 9, 10, 54, 53)"
"(8, 30, 46, 9, 13)"
"(33, 35, 43, 27, 4)"
"(57, 44, 26, 20, 16)"
"(7, 0, 3, 57, 23)"
"(30, 37, 38, 37, 3)"
"(25, 11, 35, 58, 50)"
"(17, 19, 3, 30, 42)"
"(55, 26, 9, 26, 1)"
"(0, 44, 16, 51, 55)"
"(11, 56, 5, 7, 52)"
"(21, 13, 21, 35, 1)"
"(15, 8, 32, 42, 5)"
"(5, 45, 37, 32, 7)"
"(26, 35, 23, 54, 3)"
"(42, 39, 54, 27, 14)"
"(49, 3, 17, 54, 14)"
"(11, 45, 28, 57, 47)"
"(19, 27, 39, 15, 17)"
"(1, 20, 17, 34, 2)"
"(45, 41, 45, 12, 19)"
"(9, 3, 29, 44, 47)"
"(7, 19, 41, 11, 38)"
"(9, 55, 12, 12, 33)"
"(27, 57, 11, 49, 52)"
"(44, 30, 35, 39, 42)"
"(6, 51, 46, 37, 43)"
"(45, 4, 49, 24, 52)"
"(55, 19, 14, 26, 25)"
"(34, 33, 6, 23, 7)"
"(36, 50, 49, 2, 39)"
"(31, 56, 58, 48, 26)"
"(48, 5, 20, 46, 16)"
"(13, 9, 22, 57, 19)"
"(17, 10, 46, 14, 47)"
"(36, 25, 57, 53, 12)"
"(9, 24, 48, 31, 24)"
"(54, 20, 12, 12, 15)"
"(11, 26, 42, 57, 9)"
"(10, 8, 56, 45, 43)"
"(17, 19, 23, 31, 51)"
"(11, 41, 3, 14, 44)"
"(41, 37, 46, 10, 56)"
"(1, 5, 0, 19, 4)"
"(23, 45, 35, 16, 22)"
"(26, 58, 33, 30, 3)"
"(42, 41, 19, 53, 33)"
"(56, 34, 20, 17, 54)"
"(17, 32, 58, 13, 8)"
"(46, 6, 58, 39, 19)"
"(19, 32, 32, 51, 35)"
"(13, 37, 25, 17, 26)"
"(18, 36, 27, 37, 2)"
"(48, 20, 8, 45, 23)"
"(54, 48, 12, 23, 34)"
"(27, 10, 58, 31, 49)"
"(15, 37, 1, 11, 34)"
"(3, 26, 10, 9, 41)"
"(14, 38, 30, 45, 9)"
"(8, 16, 12, 6, 17)"
"(4, 47, 24, 56, 38)"
"(3, 42, 5, 55, 0)"
"(17, 42, 42, 25, 29)"
"(38, 5, 27, 48, 38)"
"(28, 9, 18, 57, 25)"
"(46, 19, 25, 31, 42)"
"(27, 28, 36, 23, 56)"
"(3, 49, 27, 12, 31)"
"(49, 28, 6, 26, 57)"
"(1, 14, 38, 6, 36)"
"(6, 6, 29, 13, 36)"
"(42, 34, 15, 43, 32)"
"(53, 30, 53, 23, 0)"
"(46, 2, 28, 0, 20)"
"(32, 2, 2, 6, 26)"
"(30, 56, 54, 30, 48)"
"(1, 48, 36, 16, 14)"
"(11, 31, 11, 36, 36)"
"(28, 37, 18, 54, 38)"
"(12, 1, 0, 58, 35)"
"(58, 47, 28, 23, 14)"
"(45, 45, 29, 45, 54)"
"(19, 33, 19, 26, 38)"
"(41, 6, 0, 5, 38)"
"(42, 49, 21, 28, 20)"
"(3, 34, 45, 0, 6)"
"(56, 55, 0, 6, 2)"
"(23, 37, 41, 53, 50)"
"(36, 47, 28, 49, 1)"
"(29, 30, 50, 43, 54)"
"(1, 37, 0, 39, 31)"
