"(11, 44, 14, 26)"
"(24, 16, 35, 34)"
"(3, 27, 0, 42)"
"(35, 0, 28, 0)"
"(21, 4, 30, 40)"
"(44, 36, 3, 25)"
"(40, 17, 33, 19)"
"(30, 42, 4, 42)"
"(22, 43, 40, 6)"
"(15, 13, 13, 15)"
"(31, 25, 41, 9)"
"(43, 42, 40, 45)"
"(33, 26, 33, 25)"
"(17, 15, 13, 19)"
"(2, 12, 39, 5)"
"(5, 35, 20, 45)"
"(24, 26, 44, 45)"
"(39, 36, 37, 37)"
"(13, 7, 27, 19)"
"(42, 5, 46, 46)"
"(25, 39, 19, 21)"
"(9, 33, 46, 36)"
"(33, 33, 9, 42)"
"(20, 20, 32, 6)"
"(42, 41, 7, 12)"
"(38, 9, 37, 23)"
"(28, 37, 19, 12)"
"(40, 22, 11, 26)"
"(36, 14, 27, 30)"
"(23, 3, 23, 11)"
"(8, 46, 34, 4)"
"(30, 19, 9, 30)"
"(9, 5, 36, 12)"
"(18, 18, 45, 6)"
"(8, 37, 11, 20)"
"(42, 32, 30, 12)"
"(17, 23, 18, 31)"
"(19, 42, 37, 10)"
"(42, 41, 33, 39)"
"(15, 7, 46, 1)"
"(42, 3, 40, 11)"
"(15, 40, 1, 7)"
"(36, 9, 18, 46)"
"(40, 7, 46, 0)"
"(6, 32, 0, 3)"
"(45, 19, 15, 41)"
"(43, 42, 2, 27)"
"(8, 27, 23, 13)"
"(34, 3, 38, 6)"
"(33, 22, 6, 25)"
"(7, 1, 39, 44)"
"(27, 3, 12, 41)"
"(23, 42, 0, 3)"
"(33, 26, 20, 31)"
"(46, 44, 18, 40)"
"(12, 41, 40, 24)"
"(30, 12, 17, 42)"
"(3, 28, 32, 45)"
"(23, 40, 32, 19)"
"(10, 5, 6, 32)"
"(20, 25, 1, 39)"
"(35, 37, 31, 25)"
"(23, 22, 6, 24)"
"(14, 31, 28, 21)"
"(1, 9, 11, 14)"
"(0, 43, 16, 24)"
"(21, 3, 37, 24)"
"(46, 15, 2, 43)"
"(30, 12, 25, 46)"
"(40, 16, 23, 9)"
"(39, 31, 31, 15)"
"(41, 7, 20, 0)"
"(7, 32, 29, 9)"
"(5, 28, 17, 5)"
"(37, 8, 27, 29)"
"(45, 32, 27, 22)"
"(31, 42, 4, 46)"
"(26, 12, 45, 4)"
"(43, 27, 27, 15)"
"(22, 14, 19, 27)"
"(7, 46, 22, 35)"
"(28, 6, 46, 22)"
"(31, 44, 29, 13)"
"(21, 39, 24, 3)"
"(22, 46, 14, 21)"
"(3, 19, 16, 8)"
"(18, 36, 26, 3)"
"(18, 18, 4, 21)"
"(20, 19, 41, 22)"
"(3, 40, 36, 5)"
"(18, 32, 4, 32)"
"(21, 13, 39, 15)"
"(35, 32, 8, 16)"
"(0, 17, 0, 29)"
"(45, 31, 2, 27)"
"(16, 6, 3, 20)"
"(27, 32, 28, 28)"
"(30, 35, 20, 4)"
"(25, 10, 12, 41)"
"(40, 35, 5, 20)"
