"(51, 266)"
"(54, 255)"
"(93, 223)"
"(281, 300)"
"(65, 265)"
"(205, 154)"
"(178, 113)"
"(173, 161)"
"(298, 258)"
"(275, 73)"
"(142, 85)"
"(203, 176)"
"(65, 32)"
"(268, 263)"
"(306, 150)"
"(291, 181)"
"(181, 224)"
"(294, 219)"
"(247, 100)"
"(265, 231)"
"(89, 53)"
"(176, 164)"
"(64, 192)"
"(138, 261)"
"(3, 164)"
"(25, 97)"
"(219, 130)"
"(167, 19)"
"(155, 125)"
"(280, 110)"
"(25, 201)"
"(294, 229)"
"(33, 205)"
"(199, 301)"
"(53, 115)"
"(258, 194)"
"(2, 37)"
"(240, 74)"
"(283, 211)"
"(306, 232)"
"(145, 243)"
"(180, 82)"
"(178, 222)"
"(132, 144)"
"(117, 47)"
"(138, 186)"
"(69, 153)"
"(172, 130)"
"(122, 293)"
"(293, 29)"
"(191, 71)"
"(277, 32)"
"(268, 240)"
"(73, 86)"
"(122, 213)"
"(204, 19)"
"(140, 245)"
"(253, 147)"
"(81, 189)"
"(301, 18)"
"(86, 9)"
"(40, 141)"
"(280, 81)"
"(30, 304)"
"(59, 143)"
"(201, 90)"
"(115, 273)"
"(200, 210)"
"(44, 36)"
"(204, 227)"
"(140, 305)"
"(302, 97)"
"(53, 64)"
"(265, 230)"
"(215, 306)"
"(279, 80)"
"(246, 122)"
"(257, 130)"
"(281, 205)"
"(57, 166)"
"(281, 73)"
"(230, 124)"
"(123, 14)"
"(256, 152)"
"(95, 173)"
"(71, 52)"
"(270, 105)"
"(74, 224)"
"(309, 285)"
"(238, 3)"
"(247, 117)"
"(291, 281)"
"(175, 82)"
"(243, 293)"
"(31, 14)"
"(224, 243)"
"(5, 232)"
"(175, 170)"
"(185, 140)"
"(295, 37)"
