"(18, 30, 23, 24)"
"(1, 20, 23, 11)"
"(25, 6, 4, 36)"
"(38, 15, 6, 34)"
"(28, 39, 18, 26)"
"(39, 30, 26, 17)"
"(41, 22, 32, 18)"
"(42, 13, 0, 34)"
"(16, 42, 13, 41)"
"(4, 12, 6, 17)"
"(3, 22, 19, 19)"
"(14, 27, 16, 18)"
"(27, 32, 21, 22)"
"(30, 25, 3, 20)"
"(15, 14, 1, 42)"
"(19, 14, 7, 21)"
"(24, 36, 8, 18)"
"(33, 29, 15, 2)"
"(15, 11, 31, 26)"
"(4, 29, 16, 1)"
"(31, 15, 10, 31)"
"(12, 5, 19, 28)"
"(39, 16, 29, 27)"
"(40, 42, 38, 21)"
"(7, 19, 24, 15)"
"(14, 18, 22, 24)"
"(21, 37, 11, 20)"
"(2, 33, 13, 3)"
"(30, 12, 28, 34)"
"(8, 6, 12, 8)"
"(24, 24, 2, 4)"
"(12, 10, 22, 28)"
"(8, 17, 20, 11)"
"(27, 13, 33, 22)"
"(15, 31, 42, 30)"
"(6, 33, 32, 2)"
"(27, 1, 29, 27)"
"(13, 20, 11, 11)"
"(25, 26, 27, 31)"
"(32, 19, 13, 8)"
"(7, 9, 35, 10)"
"(31, 29, 1, 5)"
"(22, 29, 34, 14)"
"(12, 31, 6, 35)"
"(23, 17, 22, 11)"
"(23, 30, 38, 19)"
"(41, 22, 34, 41)"
"(16, 2, 8, 19)"
"(3, 18, 32, 22)"
"(10, 20, 14, 35)"
"(15, 12, 8, 36)"
"(21, 12, 29, 0)"
"(34, 41, 30, 5)"
"(39, 0, 22, 10)"
"(22, 31, 20, 8)"
"(10, 41, 16, 18)"
"(12, 13, 27, 32)"
"(22, 24, 10, 10)"
"(1, 29, 2, 18)"
"(6, 33, 26, 30)"
"(22, 25, 29, 7)"
"(9, 41, 22, 31)"
"(42, 2, 37, 32)"
"(26, 21, 39, 35)"
"(27, 26, 10, 38)"
"(31, 39, 11, 13)"
"(0, 36, 39, 36)"
"(16, 14, 20, 15)"
"(20, 9, 17, 37)"
"(26, 0, 39, 31)"
"(5, 32, 33, 40)"
"(32, 1, 12, 15)"
"(1, 5, 38, 40)"
"(22, 35, 6, 26)"
"(8, 18, 3, 17)"
"(29, 13, 22, 15)"
"(3, 37, 13, 8)"
"(11, 37, 14, 28)"
"(0, 33, 2, 28)"
"(15, 24, 29, 12)"
"(14, 0, 25, 9)"
"(23, 1, 33, 17)"
"(11, 31, 18, 2)"
"(38, 15, 37, 10)"
"(5, 35, 40, 29)"
"(9, 39, 22, 19)"
"(12, 22, 8, 34)"
"(34, 40, 30, 4)"
"(37, 13, 31, 18)"
"(9, 12, 33, 28)"
"(1, 17, 22, 13)"
"(34, 30, 35, 37)"
"(24, 14, 40, 16)"
"(19, 37, 29, 22)"
"(9, 35, 3, 26)"
"(15, 18, 19, 29)"
"(23, 16, 2, 8)"
"(23, 10, 24, 26)"
"(20, 31, 8, 39)"
"(31, 17, 23, 22)"
