"(21, 6, 2, 14, 11)"
"(4, 15, 16, 22, 8)"
"(15, 19, 15, 20, 15)"
"(8, 0, 10, 1, 6)"
"(6, 15, 13, 16, 10)"
"(4, 20, 6, 17, 6)"
"(15, 12, 14, 21, 8)"
"(15, 9, 22, 17, 19)"
"(14, 7, 19, 5, 13)"
"(0, 8, 4, 9, 2)"
"(0, 13, 22, 21, 5)"
"(16, 10, 7, 10, 20)"
"(19, 18, 13, 19, 20)"
"(1, 15, 21, 16, 0)"
"(8, 17, 17, 12, 20)"
"(2, 21, 19, 17, 0)"
"(12, 1, 3, 14, 22)"
"(5, 0, 7, 20, 18)"
"(7, 12, 16, 3, 8)"
"(15, 11, 6, 10, 8)"
"(0, 3, 14, 16, 7)"
"(14, 1, 15, 22, 0)"
"(16, 19, 2, 9, 18)"
"(14, 19, 10, 18, 5)"
"(20, 3, 11, 3, 12)"
"(13, 5, 3, 14, 4)"
"(6, 4, 19, 21, 16)"
"(15, 15, 11, 19, 9)"
"(2, 4, 7, 4, 0)"
"(6, 3, 4, 13, 12)"
"(16, 3, 1, 1, 14)"
"(16, 12, 14, 17, 6)"
"(10, 12, 19, 11, 3)"
"(16, 3, 0, 15, 0)"
"(18, 3, 2, 2, 5)"
"(10, 1, 16, 5, 13)"
"(8, 1, 4, 8, 7)"
"(3, 10, 7, 2, 22)"
"(4, 19, 5, 12, 11)"
"(0, 7, 4, 1, 12)"
"(10, 9, 5, 5, 10)"
"(16, 0, 12, 10, 8)"
"(14, 12, 9, 3, 21)"
"(8, 4, 9, 1, 4)"
"(1, 13, 13, 15, 12)"
"(9, 21, 15, 9, 7)"
"(2, 12, 15, 3, 16)"
"(12, 17, 19, 9, 13)"
"(16, 21, 1, 16, 17)"
"(10, 7, 15, 10, 13)"
"(7, 19, 13, 5, 14)"
"(18, 3, 5, 12, 19)"
"(2, 11, 20, 13, 17)"
"(6, 5, 0, 1, 5)"
"(19, 7, 17, 19, 7)"
"(0, 20, 7, 7, 0)"
"(9, 22, 3, 19, 8)"
"(10, 10, 2, 20, 8)"
"(19, 4, 2, 17, 10)"
"(11, 10, 10, 6, 7)"
"(9, 13, 0, 19, 19)"
"(1, 2, 7, 1, 12)"
"(9, 7, 4, 1, 10)"
"(11, 0, 20, 10, 16)"
"(15, 14, 20, 8, 14)"
"(16, 8, 7, 2, 15)"
"(18, 16, 5, 11, 17)"
"(17, 20, 17, 1, 7)"
"(15, 18, 15, 22, 22)"
"(16, 9, 3, 20, 19)"
"(7, 4, 4, 11, 8)"
"(12, 17, 22, 18, 8)"
"(5, 16, 3, 10, 16)"
"(2, 5, 17, 18, 8)"
"(19, 4, 6, 1, 19)"
"(14, 0, 20, 11, 19)"
"(17, 2, 17, 21, 20)"
"(3, 14, 1, 17, 7)"
"(10, 0, 19, 16, 16)"
"(17, 12, 12, 5, 0)"
"(2, 5, 15, 8, 20)"
"(19, 11, 17, 19, 22)"
"(3, 21, 6, 6, 12)"
"(13, 9, 1, 5, 2)"
"(8, 3, 6, 5, 4)"
"(1, 14, 1, 19, 14)"
"(18, 0, 17, 5, 5)"
"(2, 1, 11, 8, 16)"
"(8, 9, 4, 9, 15)"
"(17, 17, 0, 15, 1)"
"(11, 20, 14, 17, 4)"
"(17, 17, 13, 16, 18)"
"(11, 22, 22, 20, 10)"
"(4, 11, 10, 5, 17)"
"(16, 4, 17, 12, 19)"
"(17, 12, 21, 15, 15)"
"(5, 11, 18, 8, 15)"
"(16, 1, 5, 1, 13)"
"(17, 5, 0, 8, 12)"
"(7, 21, 9, 22, 17)"
