"(51, 46, 45)"
"(11, 0, 45)"
"(30, 29, 32)"
"(39, 35, 25)"
"(29, 47, 33)"
"(24, 48, 24)"
"(48, 1, 31)"
"(46, 26, 31)"
"(7, 16, 14)"
"(28, 15, 42)"
"(6, 20, 23)"
"(23, 40, 21)"
"(20, 2, 47)"
"(44, 20, 29)"
"(7, 38, 48)"
"(0, 9, 22)"
"(39, 7, 11)"
"(28, 49, 49)"
"(38, 24, 4)"
"(16, 44, 0)"
"(28, 44, 23)"
"(22, 31, 34)"
"(35, 3, 29)"
"(15, 25, 8)"
"(37, 26, 11)"
"(26, 2, 1)"
"(12, 51, 44)"
"(11, 45, 40)"
"(39, 45, 38)"
"(36, 39, 27)"
"(4, 0, 47)"
"(40, 27, 22)"
"(7, 23, 24)"
"(33, 50, 39)"
"(40, 35, 10)"
"(3, 7, 45)"
"(3, 43, 17)"
"(15, 37, 20)"
"(36, 39, 49)"
"(48, 41, 4)"
"(42, 31, 27)"
"(47, 7, 16)"
"(0, 19, 44)"
"(32, 8, 6)"
"(33, 12, 25)"
"(24, 4, 33)"
"(11, 19, 49)"
"(31, 3, 32)"
"(4, 41, 12)"
"(40, 39, 29)"
"(30, 49, 20)"
"(28, 45, 32)"
"(28, 10, 17)"
"(32, 43, 8)"
"(18, 45, 31)"
"(1, 41, 28)"
"(12, 6, 41)"
"(18, 19, 33)"
"(29, 33, 8)"
"(8, 9, 24)"
"(36, 4, 43)"
"(24, 36, 40)"
"(15, 26, 16)"
"(42, 40, 34)"
"(2, 30, 30)"
"(29, 22, 50)"
"(2, 13, 20)"
"(24, 23, 13)"
"(47, 37, 33)"
"(0, 24, 42)"
"(13, 42, 1)"
"(23, 27, 18)"
"(17, 3, 24)"
"(15, 25, 38)"
"(40, 13, 11)"
"(36, 36, 29)"
"(34, 51, 2)"
"(32, 40, 44)"
"(10, 41, 40)"
"(46, 5, 12)"
"(40, 25, 36)"
"(27, 28, 12)"
"(19, 20, 46)"
"(15, 50, 21)"
"(4, 20, 20)"
"(0, 31, 21)"
"(36, 8, 16)"
"(22, 34, 28)"
"(18, 21, 45)"
"(30, 15, 45)"
"(14, 51, 14)"
"(31, 19, 13)"
"(20, 26, 50)"
"(47, 9, 3)"
"(19, 51, 36)"
"(17, 17, 42)"
"(50, 25, 43)"
"(28, 26, 23)"
"(24, 9, 8)"
"(25, 22, 45)"
