"(12, 1, 7, 34, 15)"
"(21, 31, 26, 47, 37)"
"(41, 45, 52, 46, 43)"
"(42, 29, 25, 3, 1)"
"(19, 7, 12, 52, 38)"
"(39, 47, 9, 33, 46)"
"(27, 40, 15, 42, 47)"
"(35, 14, 32, 44, 47)"
"(45, 43, 8, 21, 41)"
"(20, 25, 27, 20, 46)"
"(47, 34, 27, 8, 12)"
"(34, 41, 13, 14, 30)"
"(35, 48, 51, 19, 12)"
"(43, 17, 7, 23, 3)"
"(4, 26, 29, 37, 21)"
"(37, 43, 5, 7, 30)"
"(29, 20, 31, 6, 31)"
"(14, 8, 8, 11, 9)"
"(25, 35, 52, 36, 42)"
"(19, 50, 3, 29, 43)"
"(0, 49, 48, 1, 41)"
"(4, 18, 5, 51, 23)"
"(31, 45, 24, 35, 51)"
"(21, 50, 8, 17, 45)"
"(4, 48, 11, 43, 43)"
"(47, 44, 51, 25, 5)"
"(16, 47, 37, 50, 31)"
"(30, 22, 16, 16, 44)"
"(7, 35, 36, 22, 40)"
"(1, 0, 23, 9, 30)"
"(50, 7, 24, 0, 50)"
"(1, 48, 43, 49, 31)"
"(6, 50, 9, 41, 6)"
"(52, 2, 52, 34, 1)"
"(39, 16, 26, 8, 17)"
"(42, 37, 8, 27, 11)"
"(35, 41, 38, 11, 3)"
"(9, 45, 16, 49, 6)"
"(24, 51, 40, 15, 8)"
"(2, 47, 32, 44, 48)"
"(0, 12, 34, 16, 34)"
"(33, 31, 28, 30, 0)"
"(41, 39, 9, 24, 41)"
"(6, 2, 42, 15, 26)"
"(47, 47, 18, 22, 34)"
"(39, 16, 30, 35, 45)"
"(5, 49, 51, 39, 29)"
"(45, 32, 9, 35, 47)"
"(51, 42, 41, 13, 42)"
"(50, 43, 39, 32, 48)"
"(19, 15, 29, 11, 18)"
"(32, 43, 28, 49, 46)"
"(30, 44, 7, 36, 45)"
"(19, 19, 21, 26, 38)"
"(33, 5, 41, 27, 17)"
"(38, 47, 52, 41, 40)"
"(33, 47, 2, 14, 0)"
"(0, 3, 14, 11, 36)"
"(0, 23, 50, 16, 12)"
"(3, 45, 11, 16, 40)"
"(50, 47, 35, 33, 19)"
"(30, 12, 26, 21, 45)"
"(38, 27, 28, 27, 11)"
"(36, 5, 10, 2, 0)"
"(2, 24, 42, 5, 2)"
"(27, 18, 46, 49, 5)"
"(35, 23, 27, 21, 37)"
"(23, 0, 50, 46, 30)"
"(18, 29, 17, 0, 4)"
"(31, 46, 41, 27, 3)"
"(43, 46, 4, 12, 45)"
"(20, 17, 0, 21, 21)"
"(49, 35, 36, 38, 15)"
"(52, 24, 17, 18, 2)"
"(14, 47, 29, 27, 30)"
"(30, 0, 19, 45, 12)"
"(7, 7, 19, 11, 22)"
"(50, 45, 46, 35, 8)"
"(7, 41, 48, 47, 27)"
"(42, 30, 47, 17, 26)"
"(41, 50, 12, 29, 49)"
"(3, 4, 52, 42, 27)"
"(50, 15, 31, 20, 10)"
"(6, 27, 24, 50, 38)"
"(47, 35, 50, 10, 5)"
"(42, 11, 30, 48, 22)"
"(45, 8, 10, 26, 3)"
"(22, 39, 20, 2, 49)"
"(10, 37, 2, 49, 6)"
"(35, 27, 11, 31, 10)"
"(32, 50, 30, 43, 25)"
"(9, 5, 9, 9, 35)"
"(20, 12, 18, 11, 38)"
"(7, 15, 2, 29, 51)"
"(26, 18, 19, 14, 8)"
"(21, 30, 45, 1, 50)"
"(15, 25, 36, 5, 21)"
"(28, 24, 1, 30, 26)"
"(1, 5, 14, 13, 7)"
"(8, 17, 31, 49, 42)"
