"(15, 17, 14, 15, 17)"
"(17, 22, 9, 18, 10)"
"(7, 7, 8, 11, 11)"
"(4, 18, 2, 9, 19)"
"(9, 12, 6, 2, 24)"
"(24, 6, 18, 23, 20)"
"(6, 5, 13, 3, 9)"
"(7, 14, 4, 10, 24)"
"(8, 14, 20, 16, 22)"
"(7, 6, 6, 16, 6)"
"(6, 16, 13, 14, 10)"
"(17, 17, 4, 5, 15)"
"(9, 0, 3, 22, 19)"
"(3, 15, 1, 11, 10)"
"(8, 7, 11, 18, 15)"
"(7, 9, 9, 0, 10)"
"(2, 4, 10, 19, 20)"
"(19, 9, 15, 5, 6)"
"(16, 6, 19, 19, 4)"
"(15, 11, 1, 9, 10)"
"(10, 22, 18, 1, 8)"
"(4, 4, 11, 18, 8)"
"(24, 23, 9, 15, 24)"
"(10, 13, 0, 7, 21)"
"(2, 18, 3, 19, 13)"
"(9, 8, 0, 23, 11)"
"(7, 13, 1, 6, 10)"
"(22, 23, 0, 23, 21)"
"(8, 13, 16, 17, 4)"
"(20, 18, 19, 10, 20)"
"(0, 7, 5, 10, 13)"
"(13, 2, 2, 2, 22)"
"(13, 24, 5, 8, 18)"
"(13, 4, 2, 21, 9)"
"(15, 9, 14, 24, 21)"
"(8, 17, 16, 1, 23)"
"(0, 7, 13, 9, 9)"
"(13, 1, 12, 1, 12)"
"(10, 2, 4, 0, 20)"
"(0, 3, 14, 2, 24)"
"(10, 9, 12, 1, 16)"
"(2, 5, 8, 12, 5)"
"(22, 16, 20, 1, 23)"
"(6, 17, 1, 22, 8)"
"(4, 16, 6, 22, 19)"
"(24, 21, 19, 7, 1)"
"(17, 5, 13, 10, 5)"
"(12, 1, 12, 19, 19)"
"(13, 8, 20, 12, 13)"
"(19, 24, 21, 11, 20)"
"(7, 4, 20, 11, 11)"
"(5, 8, 3, 6, 8)"
"(11, 0, 8, 19, 4)"
"(3, 17, 13, 15, 3)"
"(23, 11, 1, 6, 22)"
"(19, 7, 12, 12, 14)"
"(8, 16, 8, 22, 20)"
"(21, 24, 21, 8, 10)"
"(17, 3, 12, 15, 8)"
"(23, 6, 6, 0, 21)"
"(4, 12, 7, 19, 18)"
"(8, 19, 6, 9, 15)"
"(8, 7, 10, 13, 3)"
"(22, 4, 9, 11, 1)"
"(12, 18, 21, 18, 23)"
"(10, 5, 7, 1, 1)"
"(19, 19, 1, 11, 4)"
"(5, 4, 16, 11, 11)"
"(8, 12, 12, 12, 9)"
"(10, 16, 24, 17, 24)"
"(16, 0, 4, 8, 19)"
"(6, 15, 9, 10, 10)"
"(10, 15, 21, 15, 15)"
"(0, 5, 5, 16, 11)"
"(6, 9, 7, 4, 1)"
"(18, 11, 0, 6, 14)"
"(4, 3, 12, 18, 16)"
"(24, 3, 12, 1, 1)"
"(12, 0, 22, 3, 11)"
"(22, 20, 7, 21, 3)"
"(2, 22, 20, 2, 11)"
"(16, 23, 0, 17, 18)"
"(3, 16, 7, 8, 13)"
"(5, 11, 4, 15, 1)"
"(17, 10, 15, 14, 11)"
"(21, 15, 11, 19, 5)"
"(7, 5, 5, 12, 8)"
"(17, 19, 14, 18, 13)"
"(0, 10, 10, 19, 22)"
"(6, 5, 2, 8, 21)"
"(10, 3, 24, 6, 7)"
"(13, 4, 6, 5, 24)"
"(10, 5, 15, 24, 15)"
"(16, 5, 7, 20, 2)"
"(6, 7, 11, 0, 20)"
"(6, 12, 20, 4, 21)"
"(0, 21, 23, 3, 9)"
"(16, 1, 0, 7, 11)"
"(18, 1, 2, 9, 3)"
"(21, 3, 16, 4, 2)"
