"(33, 20, 48, 36, 23)"
"(44, 29, 19, 23, 49)"
"(45, 35, 43, 1, 1)"
"(21, 49, 37, 5, 23)"
"(7, 33, 25, 5, 30)"
"(3, 29, 22, 18, 41)"
"(28, 39, 46, 9, 54)"
"(18, 15, 33, 15, 40)"
"(42, 6, 35, 3, 31)"
"(23, 43, 46, 48, 36)"
"(34, 14, 0, 28, 23)"
"(38, 25, 28, 8, 23)"
"(15, 30, 51, 38, 46)"
"(26, 3, 40, 16, 31)"
"(40, 31, 54, 25, 14)"
"(27, 46, 32, 16, 7)"
"(14, 21, 37, 36, 13)"
"(12, 50, 3, 3, 28)"
"(51, 19, 24, 25, 4)"
"(50, 18, 26, 13, 38)"
"(2, 47, 30, 13, 26)"
"(50, 48, 51, 45, 53)"
"(12, 17, 17, 25, 50)"
"(38, 3, 23, 49, 46)"
"(28, 0, 26, 1, 43)"
"(36, 51, 5, 21, 8)"
"(23, 15, 42, 3, 40)"
"(41, 53, 29, 12, 6)"
"(30, 34, 49, 53, 34)"
"(11, 47, 28, 33, 47)"
"(3, 14, 33, 16, 20)"
"(40, 45, 37, 42, 43)"
"(49, 29, 34, 14, 26)"
"(3, 7, 16, 46, 54)"
"(4, 43, 41, 6, 38)"
"(32, 4, 1, 3, 16)"
"(32, 8, 10, 20, 43)"
"(43, 4, 30, 15, 41)"
"(24, 7, 40, 41, 44)"
"(41, 44, 31, 33, 8)"
"(15, 12, 26, 53, 51)"
"(29, 34, 19, 40, 1)"
"(19, 28, 36, 38, 3)"
"(47, 13, 26, 34, 26)"
"(11, 25, 48, 1, 48)"
"(52, 8, 25, 24, 4)"
"(54, 34, 35, 2, 1)"
"(30, 31, 21, 39, 12)"
"(2, 35, 33, 27, 16)"
"(46, 52, 33, 54, 46)"
"(10, 1, 39, 3, 44)"
"(48, 51, 1, 42, 53)"
"(29, 40, 52, 6, 35)"
"(27, 24, 24, 12, 42)"
"(17, 8, 30, 50, 9)"
"(13, 10, 34, 14, 42)"
"(14, 18, 20, 53, 53)"
"(11, 38, 21, 21, 2)"
"(27, 22, 21, 37, 40)"
"(13, 9, 31, 31, 45)"
"(53, 15, 53, 39, 6)"
"(44, 8, 6, 36, 37)"
"(52, 16, 43, 52, 36)"
"(28, 3, 32, 18, 48)"
"(22, 14, 0, 38, 23)"
"(19, 30, 28, 54, 6)"
"(12, 20, 7, 10, 26)"
"(44, 0, 19, 52, 54)"
"(30, 28, 26, 38, 13)"
"(39, 19, 0, 37, 52)"
"(37, 40, 14, 43, 36)"
"(14, 19, 51, 11, 17)"
"(26, 22, 5, 20, 7)"
"(32, 6, 48, 53, 33)"
"(16, 31, 16, 21, 24)"
"(38, 9, 2, 13, 13)"
"(54, 41, 8, 44, 47)"
"(40, 19, 29, 51, 51)"
"(47, 3, 42, 15, 7)"
"(8, 8, 51, 16, 17)"
"(8, 29, 27, 23, 49)"
"(10, 2, 33, 2, 50)"
"(31, 24, 8, 28, 10)"
"(20, 10, 49, 5, 50)"
"(40, 27, 5, 49, 45)"
"(20, 25, 4, 14, 10)"
"(34, 40, 10, 18, 43)"
"(27, 20, 21, 51, 22)"
"(21, 50, 23, 17, 41)"
"(30, 27, 27, 21, 28)"
"(49, 12, 50, 19, 37)"
"(44, 17, 10, 8, 13)"
"(9, 47, 23, 44, 17)"
"(12, 10, 24, 36, 11)"
"(9, 16, 24, 15, 40)"
"(16, 11, 42, 25, 12)"
"(37, 49, 10, 10, 0)"
"(25, 45, 12, 53, 34)"
"(32, 32, 36, 38, 14)"
"(31, 1, 8, 23, 21)"
