"(49, 53, 23, 31, 15)"
"(10, 7, 40, 35, 4)"
"(5, 43, 13, 9, 47)"
"(4, 4, 35, 1, 50)"
"(13, 7, 25, 40, 11)"
"(29, 26, 36, 39, 5)"
"(7, 44, 32, 9, 33)"
"(53, 47, 36, 38, 11)"
"(13, 13, 32, 17, 46)"
"(6, 23, 36, 46, 44)"
"(43, 22, 38, 44, 16)"
"(41, 23, 41, 6, 35)"
"(5, 33, 8, 48, 3)"
"(13, 51, 35, 50, 7)"
"(10, 46, 8, 49, 37)"
"(7, 6, 8, 34, 2)"
"(10, 49, 51, 27, 50)"
"(0, 29, 40, 41, 48)"
"(42, 36, 1, 20, 0)"
"(21, 44, 45, 20, 28)"
"(5, 13, 48, 10, 11)"
"(12, 28, 13, 42, 3)"
"(20, 39, 25, 52, 16)"
"(34, 43, 4, 15, 36)"
"(43, 52, 24, 46, 4)"
"(3, 17, 37, 43, 12)"
"(21, 7, 45, 49, 26)"
"(12, 40, 53, 34, 13)"
"(54, 28, 23, 44, 16)"
"(32, 12, 6, 28, 47)"
"(13, 29, 20, 8, 1)"
"(44, 8, 29, 43, 23)"
"(20, 21, 4, 24, 3)"
"(18, 45, 23, 29, 37)"
"(45, 22, 8, 40, 33)"
"(27, 32, 32, 3, 10)"
"(8, 2, 18, 14, 29)"
"(2, 49, 10, 41, 21)"
"(38, 8, 10, 33, 24)"
"(33, 24, 15, 39, 16)"
"(18, 37, 6, 48, 17)"
"(19, 40, 16, 6, 23)"
"(31, 38, 11, 44, 21)"
"(6, 14, 17, 51, 22)"
"(47, 14, 54, 8, 4)"
"(34, 40, 9, 8, 42)"
"(35, 31, 42, 43, 41)"
"(35, 53, 50, 45, 37)"
"(21, 49, 33, 40, 42)"
"(20, 6, 30, 7, 42)"
"(43, 20, 50, 33, 54)"
"(33, 41, 20, 10, 15)"
"(14, 4, 45, 4, 54)"
"(6, 4, 40, 14, 34)"
"(47, 32, 36, 8, 48)"
"(37, 13, 24, 33, 54)"
"(53, 28, 46, 32, 52)"
"(31, 27, 27, 44, 0)"
"(43, 20, 20, 52, 31)"
"(24, 44, 51, 54, 45)"
"(34, 33, 18, 20, 14)"
"(42, 26, 50, 8, 44)"
"(9, 22, 7, 31, 32)"
"(13, 2, 32, 1, 27)"
"(34, 53, 51, 45, 45)"
"(18, 5, 19, 9, 35)"
"(8, 14, 11, 4, 52)"
"(21, 36, 43, 30, 22)"
"(48, 52, 46, 5, 2)"
"(21, 7, 29, 32, 3)"
"(41, 50, 34, 49, 50)"
"(50, 47, 36, 44, 27)"
"(33, 15, 14, 47, 52)"
"(52, 17, 16, 17, 44)"
"(45, 24, 33, 4, 35)"
"(0, 12, 51, 6, 30)"
"(24, 7, 46, 4, 14)"
"(8, 19, 19, 52, 23)"
"(45, 37, 9, 31, 9)"
"(24, 45, 24, 20, 22)"
"(3, 10, 44, 24, 44)"
"(39, 15, 46, 27, 13)"
"(38, 17, 39, 39, 17)"
"(45, 23, 26, 18, 45)"
"(17, 21, 45, 29, 26)"
"(47, 8, 6, 3, 10)"
"(35, 22, 17, 35, 16)"
"(41, 8, 51, 23, 22)"
"(44, 53, 20, 26, 33)"
"(5, 17, 42, 19, 45)"
"(38, 50, 48, 44, 40)"
"(36, 39, 1, 3, 24)"
"(43, 8, 36, 41, 54)"
"(29, 29, 23, 32, 34)"
"(34, 25, 13, 53, 12)"
"(53, 33, 7, 4, 2)"
"(31, 32, 38, 19, 8)"
"(11, 42, 36, 49, 13)"
"(5, 26, 29, 13, 45)"
"(30, 23, 42, 5, 5)"
