"(7, 20, 18, 17, 25)"
"(3, 15, 10, 20, 5)"
"(22, 0, 4, 24, 19)"
"(9, 14, 17, 25, 8)"
"(22, 16, 17, 9, 5)"
"(11, 8, 9, 0, 23)"
"(23, 21, 21, 19, 11)"
"(1, 8, 11, 16, 18)"
"(23, 9, 15, 14, 25)"
"(10, 2, 15, 5, 26)"
"(16, 21, 19, 1, 1)"
"(21, 18, 5, 21, 4)"
"(7, 16, 25, 19, 9)"
"(0, 10, 11, 18, 22)"
"(15, 13, 13, 10, 26)"
"(18, 8, 2, 25, 7)"
"(6, 19, 2, 16, 8)"
"(9, 26, 8, 18, 16)"
"(3, 14, 13, 10, 24)"
"(21, 1, 12, 2, 6)"
"(18, 16, 9, 5, 13)"
"(0, 21, 6, 6, 10)"
"(3, 2, 21, 3, 21)"
"(14, 9, 0, 24, 21)"
"(20, 0, 23, 23, 24)"
"(23, 5, 25, 2, 21)"
"(19, 24, 5, 0, 10)"
"(7, 20, 26, 12, 7)"
"(5, 17, 20, 0, 1)"
"(20, 14, 2, 8, 10)"
"(12, 18, 0, 18, 6)"
"(3, 20, 23, 0, 19)"
"(24, 20, 24, 5, 20)"
"(10, 22, 24, 13, 8)"
"(5, 14, 9, 6, 11)"
"(24, 1, 14, 14, 8)"
"(10, 24, 6, 19, 24)"
"(5, 16, 23, 14, 3)"
"(1, 5, 4, 1, 26)"
"(19, 3, 16, 2, 12)"
"(13, 10, 13, 17, 12)"
"(14, 24, 16, 7, 4)"
"(1, 2, 25, 16, 5)"
"(15, 26, 8, 15, 16)"
"(22, 8, 17, 3, 8)"
"(9, 19, 15, 18, 5)"
"(15, 2, 3, 6, 19)"
"(22, 13, 5, 13, 14)"
"(15, 10, 1, 25, 22)"
"(21, 3, 5, 21, 14)"
"(13, 3, 1, 17, 20)"
"(3, 20, 20, 26, 10)"
"(18, 17, 11, 11, 6)"
"(20, 7, 5, 10, 16)"
"(18, 12, 16, 15, 20)"
"(24, 11, 25, 20, 1)"
"(13, 6, 15, 0, 15)"
"(15, 20, 10, 21, 18)"
"(4, 1, 11, 5, 9)"
"(15, 21, 15, 13, 25)"
"(2, 21, 6, 24, 9)"
"(6, 26, 7, 20, 18)"
"(7, 25, 2, 6, 13)"
"(20, 5, 10, 26, 0)"
"(3, 16, 14, 20, 0)"
"(24, 19, 25, 3, 22)"
"(11, 12, 21, 17, 10)"
"(9, 8, 3, 4, 1)"
"(8, 22, 7, 12, 18)"
"(22, 8, 17, 9, 5)"
"(25, 15, 10, 10, 4)"
"(26, 11, 1, 20, 2)"
"(2, 0, 19, 18, 7)"
"(26, 1, 22, 6, 16)"
"(26, 5, 16, 13, 1)"
"(22, 21, 3, 2, 20)"
"(1, 4, 24, 26, 10)"
"(4, 6, 15, 5, 3)"
"(26, 15, 16, 5, 5)"
"(25, 23, 23, 25, 15)"
"(5, 7, 11, 19, 0)"
"(21, 5, 0, 11, 6)"
"(14, 6, 4, 20, 3)"
"(14, 23, 23, 2, 16)"
"(8, 17, 5, 23, 13)"
"(25, 5, 18, 13, 3)"
"(11, 4, 15, 12, 3)"
"(18, 24, 2, 26, 5)"
"(6, 0, 18, 19, 6)"
"(19, 11, 20, 6, 19)"
"(6, 11, 1, 3, 10)"
"(8, 15, 1, 1, 18)"
"(19, 18, 6, 24, 1)"
"(15, 5, 19, 1, 4)"
"(11, 25, 10, 10, 13)"
"(25, 5, 15, 18, 14)"
"(22, 18, 1, 4, 16)"
"(16, 4, 7, 16, 11)"
"(24, 5, 10, 1, 12)"
"(19, 11, 12, 11, 2)"
