"(14, 29, 12, 4, 45)"
"(21, 1, 10, 16, 14)"
"(24, 49, 11, 36, 34)"
"(0, 33, 14, 31, 20)"
"(13, 17, 10, 14, 26)"
"(12, 42, 36, 31, 11)"
"(2, 19, 26, 15, 47)"
"(48, 38, 46, 2, 31)"
"(7, 47, 43, 29, 7)"
"(42, 14, 29, 2, 19)"
"(37, 29, 22, 12, 26)"
"(26, 14, 5, 19, 11)"
"(41, 13, 37, 24, 8)"
"(25, 42, 42, 13, 33)"
"(33, 24, 14, 10, 49)"
"(49, 23, 21, 19, 10)"
"(42, 39, 39, 10, 21)"
"(39, 25, 2, 20, 12)"
"(48, 32, 17, 30, 37)"
"(24, 29, 22, 23, 48)"
"(32, 48, 43, 44, 3)"
"(43, 16, 27, 23, 43)"
"(37, 5, 44, 44, 37)"
"(26, 5, 35, 13, 26)"
"(13, 1, 29, 13, 26)"
"(48, 37, 38, 27, 14)"
"(44, 20, 7, 23, 43)"
"(11, 17, 18, 46, 13)"
"(26, 15, 43, 33, 18)"
"(1, 32, 25, 44, 36)"
"(41, 15, 29, 33, 13)"
"(13, 10, 37, 21, 17)"
"(19, 7, 13, 30, 0)"
"(16, 24, 29, 28, 11)"
"(44, 1, 8, 33, 1)"
"(0, 27, 10, 6, 29)"
"(33, 38, 6, 23, 7)"
"(31, 24, 24, 29, 25)"
"(7, 38, 13, 8, 10)"
"(32, 48, 33, 35, 24)"
"(32, 47, 35, 44, 45)"
"(30, 10, 37, 33, 34)"
"(32, 7, 46, 23, 46)"
"(36, 8, 13, 4, 31)"
"(47, 47, 38, 35, 15)"
"(43, 44, 3, 32, 32)"
"(37, 9, 23, 23, 38)"
"(35, 30, 6, 2, 5)"
"(5, 22, 11, 34, 30)"
"(38, 47, 23, 0, 4)"
"(40, 9, 24, 14, 19)"
"(39, 2, 9, 17, 12)"
"(8, 2, 23, 23, 8)"
"(9, 49, 23, 3, 29)"
"(4, 20, 46, 43, 22)"
"(30, 44, 22, 34, 6)"
"(20, 34, 30, 11, 31)"
"(4, 21, 14, 17, 26)"
"(43, 11, 26, 3, 24)"
"(37, 3, 23, 4, 2)"
"(27, 21, 22, 46, 38)"
"(18, 46, 21, 13, 21)"
"(6, 42, 26, 14, 27)"
"(34, 25, 11, 30, 39)"
"(36, 0, 13, 17, 34)"
"(47, 46, 2, 31, 15)"
"(25, 45, 46, 35, 36)"
"(12, 7, 37, 40, 17)"
"(18, 23, 20, 17, 0)"
"(39, 49, 6, 26, 7)"
"(24, 44, 23, 33, 6)"
"(26, 8, 14, 42, 48)"
"(42, 11, 20, 3, 32)"
"(28, 19, 41, 43, 28)"
"(37, 43, 26, 28, 44)"
"(8, 11, 23, 1, 0)"
"(19, 0, 18, 28, 24)"
"(8, 23, 36, 30, 40)"
"(37, 33, 46, 17, 4)"
"(12, 17, 25, 30, 1)"
"(22, 35, 36, 14, 46)"
"(16, 31, 31, 37, 47)"
"(0, 33, 12, 36, 27)"
"(7, 11, 47, 7, 32)"
"(33, 36, 35, 5, 29)"
"(29, 30, 4, 16, 17)"
"(22, 17, 11, 48, 21)"
"(42, 5, 5, 32, 22)"
"(10, 17, 33, 33, 6)"
"(0, 34, 39, 15, 42)"
"(16, 30, 28, 12, 14)"
"(16, 40, 9, 28, 37)"
"(35, 34, 42, 18, 2)"
"(13, 13, 4, 30, 28)"
"(30, 9, 43, 34, 29)"
"(13, 18, 3, 1, 48)"
"(33, 48, 15, 45, 13)"
"(11, 10, 0, 20, 40)"
"(31, 22, 11, 47, 28)"
"(43, 45, 28, 45, 15)"
