"(5, 5, 29, 7)"
"(13, 18, 18, 2)"
"(1, 28, 10, 19)"
"(23, 21, 1, 7)"
"(16, 3, 12, 28)"
"(11, 0, 11, 2)"
"(17, 12, 13, 8)"
"(20, 26, 21, 15)"
"(12, 8, 21, 20)"
"(9, 11, 13, 22)"
"(12, 3, 20, 29)"
"(2, 22, 6, 14)"
"(27, 0, 18, 1)"
"(14, 1, 10, 8)"
"(28, 2, 26, 8)"
"(6, 16, 25, 25)"
"(13, 19, 22, 20)"
"(0, 29, 16, 10)"
"(20, 1, 0, 5)"
"(24, 7, 16, 5)"
"(3, 1, 10, 21)"
"(26, 6, 25, 6)"
"(20, 22, 11, 8)"
"(0, 29, 16, 21)"
"(13, 10, 4, 6)"
"(18, 25, 22, 5)"
"(6, 8, 28, 26)"
"(7, 18, 14, 11)"
"(10, 24, 22, 1)"
"(7, 22, 11, 20)"
"(22, 7, 11, 6)"
"(14, 22, 5, 1)"
"(28, 1, 7, 9)"
"(23, 19, 28, 0)"
"(7, 13, 10, 9)"
"(28, 3, 9, 14)"
"(19, 17, 16, 23)"
"(27, 29, 4, 7)"
"(9, 3, 7, 18)"
"(7, 8, 21, 2)"
"(29, 20, 8, 4)"
"(13, 18, 20, 19)"
"(2, 5, 14, 22)"
"(0, 9, 25, 17)"
"(7, 19, 29, 7)"
"(6, 19, 24, 4)"
"(4, 26, 0, 3)"
"(17, 25, 23, 22)"
"(21, 1, 23, 8)"
"(27, 23, 3, 0)"
"(17, 4, 21, 24)"
"(19, 7, 6, 29)"
"(28, 26, 27, 17)"
"(26, 4, 0, 28)"
"(11, 10, 21, 19)"
"(21, 8, 18, 26)"
"(23, 20, 28, 15)"
"(4, 14, 22, 13)"
"(18, 3, 18, 24)"
"(4, 28, 21, 3)"
"(26, 10, 8, 18)"
"(11, 12, 8, 28)"
"(29, 25, 9, 12)"
"(7, 17, 0, 18)"
"(23, 12, 21, 29)"
"(26, 2, 23, 7)"
"(8, 24, 25, 4)"
"(28, 28, 26, 18)"
"(24, 1, 12, 25)"
"(2, 20, 5, 20)"
"(9, 24, 11, 16)"
"(16, 9, 23, 20)"
"(2, 2, 13, 22)"
"(19, 14, 25, 2)"
"(24, 19, 25, 4)"
"(11, 17, 15, 13)"
"(1, 15, 27, 15)"
"(10, 6, 22, 26)"
"(24, 23, 18, 14)"
"(7, 9, 11, 29)"
"(8, 24, 28, 6)"
"(14, 9, 14, 23)"
"(0, 22, 15, 15)"
"(4, 11, 8, 0)"
"(18, 25, 26, 16)"
"(22, 27, 10, 0)"
"(14, 5, 26, 8)"
"(29, 9, 19, 14)"
"(19, 25, 17, 18)"
"(7, 24, 16, 7)"
"(21, 0, 29, 20)"
"(14, 12, 19, 25)"
"(7, 19, 3, 23)"
"(10, 12, 16, 18)"
"(27, 10, 7, 15)"
"(24, 20, 28, 5)"
"(2, 16, 8, 16)"
"(3, 11, 8, 7)"
"(21, 3, 18, 1)"
"(27, 23, 9, 20)"
