"(27, 50, 38, 48, 1)"
"(44, 17, 10, 5, 47)"
"(44, 43, 48, 17, 27)"
"(9, 1, 7, 44, 3)"
"(42, 54, 31, 7, 9)"
"(53, 53, 51, 49, 13)"
"(23, 33, 39, 20, 54)"
"(25, 8, 39, 22, 35)"
"(48, 12, 53, 52, 9)"
"(35, 42, 38, 10, 7)"
"(43, 5, 17, 17, 2)"
"(34, 49, 32, 44, 47)"
"(21, 55, 4, 15, 28)"
"(23, 43, 39, 13, 12)"
"(8, 12, 11, 13, 22)"
"(38, 4, 13, 8, 42)"
"(35, 55, 18, 15, 52)"
"(49, 7, 30, 17, 31)"
"(1, 32, 46, 48, 42)"
"(26, 52, 13, 23, 1)"
"(24, 29, 46, 15, 48)"
"(41, 36, 55, 9, 3)"
"(31, 12, 31, 42, 2)"
"(55, 1, 16, 7, 41)"
"(26, 53, 14, 53, 27)"
"(51, 41, 53, 14, 44)"
"(45, 27, 30, 49, 32)"
"(10, 45, 19, 24, 51)"
"(39, 31, 30, 16, 31)"
"(52, 39, 9, 47, 32)"
"(32, 2, 36, 8, 12)"
"(29, 50, 51, 8, 41)"
"(23, 18, 31, 46, 21)"
"(47, 0, 2, 3, 25)"
"(38, 30, 4, 17, 4)"
"(53, 3, 23, 2, 32)"
"(25, 20, 17, 4, 12)"
"(52, 33, 54, 10, 6)"
"(16, 40, 26, 40, 52)"
"(34, 25, 5, 37, 18)"
"(2, 17, 25, 5, 10)"
"(17, 29, 25, 39, 11)"
"(1, 45, 48, 39, 46)"
"(47, 55, 5, 32, 9)"
"(45, 50, 55, 43, 15)"
"(46, 39, 35, 47, 27)"
"(39, 48, 49, 7, 26)"
"(19, 4, 16, 16, 26)"
"(5, 45, 2, 39, 25)"
"(8, 22, 21, 7, 23)"
"(48, 20, 38, 22, 18)"
"(29, 32, 42, 44, 37)"
"(4, 49, 24, 27, 28)"
"(17, 4, 54, 0, 27)"
"(8, 5, 33, 7, 41)"
"(16, 8, 5, 40, 21)"
"(23, 27, 14, 27, 55)"
"(18, 35, 48, 8, 48)"
"(25, 23, 45, 46, 49)"
"(30, 11, 20, 49, 15)"
"(34, 35, 32, 27, 23)"
"(12, 24, 2, 25, 8)"
"(46, 51, 44, 31, 18)"
"(39, 50, 25, 17, 27)"
"(6, 12, 0, 20, 15)"
"(9, 9, 4, 20, 27)"
"(45, 8, 12, 51, 45)"
"(31, 6, 27, 24, 18)"
"(43, 10, 46, 40, 26)"
"(39, 26, 13, 23, 34)"
"(7, 46, 6, 4, 13)"
"(17, 9, 32, 8, 31)"
"(7, 38, 48, 2, 37)"
"(41, 22, 24, 14, 8)"
"(8, 47, 8, 22, 3)"
"(32, 48, 3, 48, 38)"
"(9, 24, 12, 48, 10)"
"(35, 6, 48, 42, 38)"
"(14, 26, 29, 20, 3)"
"(35, 0, 22, 14, 29)"
"(11, 41, 19, 47, 38)"
"(51, 49, 37, 26, 8)"
"(47, 15, 20, 19, 40)"
"(45, 42, 9, 54, 7)"
"(8, 3, 49, 17, 33)"
"(17, 25, 1, 51, 32)"
"(26, 28, 48, 43, 53)"
"(48, 17, 26, 33, 16)"
"(53, 5, 32, 12, 19)"
"(10, 27, 21, 45, 4)"
"(49, 1, 2, 39, 28)"
"(38, 41, 52, 0, 30)"
"(20, 36, 1, 26, 39)"
"(52, 36, 55, 22, 32)"
"(1, 27, 51, 20, 44)"
"(21, 6, 20, 33, 42)"
"(11, 23, 15, 54, 24)"
"(20, 6, 21, 0, 22)"
"(26, 16, 20, 51, 43)"
"(15, 41, 40, 27, 1)"
