"(176, 23)"
"(45, 124)"
"(198, 163)"
"(190, 107)"
"(8, 175)"
"(2, 17)"
"(118, 173)"
"(107, 90)"
"(6, 179)"
"(142, 202)"
"(26, 176)"
"(209, 213)"
"(37, 9)"
"(58, 120)"
"(97, 145)"
"(100, 124)"
"(39, 91)"
"(79, 125)"
"(60, 83)"
"(175, 83)"
"(40, 172)"
"(219, 45)"
"(46, 162)"
"(203, 79)"
"(124, 20)"
"(47, 197)"
"(188, 45)"
"(133, 149)"
"(74, 81)"
"(69, 96)"
"(38, 47)"
"(196, 130)"
"(50, 219)"
"(7, 118)"
"(199, 89)"
"(147, 206)"
"(120, 108)"
"(154, 19)"
"(95, 77)"
"(31, 90)"
"(28, 42)"
"(172, 148)"
"(206, 143)"
"(47, 122)"
"(0, 51)"
"(81, 60)"
"(113, 41)"
"(78, 211)"
"(163, 41)"
"(49, 72)"
"(149, 153)"
"(180, 145)"
"(13, 97)"
"(25, 109)"
"(78, 174)"
"(27, 60)"
"(76, 0)"
"(93, 92)"
"(123, 181)"
"(165, 146)"
"(4, 8)"
"(112, 9)"
"(19, 205)"
"(84, 88)"
"(110, 68)"
"(94, 153)"
"(25, 62)"
"(62, 56)"
"(193, 148)"
"(174, 87)"
"(5, 141)"
"(83, 120)"
"(34, 165)"
"(56, 179)"
"(128, 130)"
"(119, 152)"
"(131, 198)"
"(49, 44)"
"(18, 196)"
"(60, 209)"
"(63, 124)"
"(181, 139)"
"(86, 132)"
"(116, 91)"
"(212, 199)"
"(60, 21)"
"(21, 40)"
"(13, 61)"
"(211, 171)"
"(175, 73)"
"(208, 72)"
"(218, 171)"
"(139, 81)"
"(138, 146)"
"(111, 121)"
"(7, 174)"
"(209, 157)"
"(173, 188)"
"(0, 171)"
"(7, 51)"
