"(65, 53, 17)"
"(55, 33, 4)"
"(57, 23, 42)"
"(46, 21, 63)"
"(24, 29, 52)"
"(40, 52, 16)"
"(34, 38, 52)"
"(46, 15, 32)"
"(17, 54, 7)"
"(18, 10, 48)"
"(1, 39, 62)"
"(20, 12, 50)"
"(49, 60, 21)"
"(11, 62, 17)"
"(28, 19, 50)"
"(6, 17, 47)"
"(20, 56, 52)"
"(64, 54, 33)"
"(24, 0, 12)"
"(46, 11, 46)"
"(28, 36, 18)"
"(36, 51, 61)"
"(15, 10, 8)"
"(16, 14, 8)"
"(4, 31, 25)"
"(55, 51, 15)"
"(26, 44, 39)"
"(7, 50, 38)"
"(50, 9, 59)"
"(12, 14, 18)"
"(32, 16, 16)"
"(24, 12, 61)"
"(0, 27, 64)"
"(18, 14, 19)"
"(20, 27, 64)"
"(23, 56, 32)"
"(7, 15, 28)"
"(62, 22, 38)"
"(19, 57, 51)"
"(38, 10, 26)"
"(25, 43, 9)"
"(52, 29, 47)"
"(38, 10, 5)"
"(13, 36, 2)"
"(13, 36, 27)"
"(0, 0, 60)"
"(46, 42, 38)"
"(6, 65, 10)"
"(16, 2, 17)"
"(38, 30, 61)"
"(50, 48, 39)"
"(36, 47, 7)"
"(24, 64, 9)"
"(57, 23, 48)"
"(43, 38, 8)"
"(16, 53, 7)"
"(12, 41, 0)"
"(12, 42, 44)"
"(20, 65, 47)"
"(25, 4, 11)"
"(25, 14, 34)"
"(0, 60, 40)"
"(13, 60, 19)"
"(33, 23, 23)"
"(4, 3, 65)"
"(27, 57, 21)"
"(36, 62, 6)"
"(40, 23, 63)"
"(35, 22, 42)"
"(55, 43, 63)"
"(42, 46, 13)"
"(10, 41, 12)"
"(1, 14, 18)"
"(64, 24, 39)"
"(50, 64, 15)"
"(57, 7, 2)"
"(52, 9, 16)"
"(20, 50, 64)"
"(29, 33, 7)"
"(50, 0, 0)"
"(28, 57, 28)"
"(5, 8, 30)"
"(20, 19, 23)"
"(34, 16, 28)"
"(13, 44, 64)"
"(49, 20, 31)"
"(47, 10, 44)"
"(32, 12, 38)"
"(47, 29, 52)"
"(22, 54, 34)"
"(6, 51, 37)"
"(53, 21, 11)"
"(11, 27, 52)"
"(22, 41, 8)"
"(33, 9, 55)"
"(33, 33, 2)"
"(54, 63, 44)"
"(33, 33, 47)"
"(3, 6, 36)"
"(51, 7, 59)"
