"(159, 87)"
"(111, 139)"
"(95, 121)"
"(283, 243)"
"(253, 83)"
"(2, 53)"
"(207, 87)"
"(258, 43)"
"(23, 33)"
"(96, 221)"
"(87, 163)"
"(88, 137)"
"(222, 180)"
"(44, 132)"
"(278, 128)"
"(17, 204)"
"(204, 36)"
"(275, 199)"
"(122, 139)"
"(23, 270)"
"(280, 217)"
"(278, 107)"
"(33, 21)"
"(281, 264)"
"(197, 68)"
"(162, 139)"
"(131, 73)"
"(131, 117)"
"(140, 88)"
"(150, 23)"
"(61, 259)"
"(115, 62)"
"(93, 92)"
"(86, 19)"
"(4, 239)"
"(280, 237)"
"(110, 69)"
"(218, 203)"
"(140, 100)"
"(83, 262)"
"(121, 88)"
"(10, 48)"
"(253, 277)"
"(263, 247)"
"(13, 19)"
"(207, 218)"
"(39, 212)"
"(63, 145)"
"(12, 13)"
"(104, 41)"
"(160, 78)"
"(71, 145)"
"(143, 262)"
"(215, 171)"
"(41, 14)"
"(93, 223)"
"(216, 223)"
"(276, 259)"
"(200, 35)"
"(43, 75)"
"(208, 69)"
"(160, 19)"
"(277, 159)"
"(192, 244)"
"(186, 42)"
"(123, 283)"
"(247, 130)"
"(66, 279)"
"(223, 1)"
"(34, 140)"
"(212, 288)"
"(278, 247)"
"(51, 244)"
"(280, 37)"
"(246, 13)"
"(31, 247)"
"(168, 162)"
"(181, 167)"
"(79, 60)"
"(40, 60)"
"(191, 69)"
"(283, 55)"
"(43, 3)"
"(124, 271)"
"(272, 67)"
"(62, 172)"
"(94, 280)"
"(144, 267)"
"(2, 132)"
"(213, 276)"
"(140, 176)"
"(54, 227)"
"(81, 283)"
"(200, 11)"
"(16, 192)"
"(83, 63)"
"(249, 223)"
"(144, 59)"
"(280, 163)"
"(20, 103)"
