"(24, 14, 1)"
"(4, 1, 1)"
"(1, 11, 21)"
"(1, 14, 24)"
"(18, 12, 21)"
"(1, 22, 9)"
"(16, 12, 21)"
"(21, 15, 12)"
"(1, 20, 23)"
"(5, 0, 12)"
"(17, 23, 20)"
"(8, 24, 20)"
"(10, 5, 25)"
"(3, 23, 15)"
"(13, 0, 7)"
"(15, 6, 5)"
"(14, 14, 6)"
"(5, 21, 19)"
"(15, 24, 9)"
"(23, 8, 16)"
"(14, 10, 6)"
"(14, 13, 8)"
"(21, 12, 18)"
"(15, 24, 16)"
"(23, 8, 23)"
"(11, 1, 4)"
"(11, 0, 20)"
"(3, 1, 14)"
"(10, 7, 20)"
"(6, 10, 3)"
"(11, 11, 15)"
"(21, 18, 2)"
"(4, 21, 10)"
"(13, 20, 24)"
"(2, 8, 21)"
"(14, 8, 23)"
"(5, 12, 9)"
"(0, 23, 25)"
"(16, 10, 20)"
"(18, 15, 15)"
"(19, 7, 22)"
"(12, 2, 24)"
"(2, 12, 24)"
"(17, 25, 0)"
"(1, 10, 4)"
"(10, 1, 3)"
"(25, 13, 23)"
"(15, 11, 18)"
"(6, 25, 23)"
"(1, 9, 10)"
"(1, 15, 5)"
"(12, 24, 12)"
"(10, 11, 23)"
"(16, 18, 23)"
"(15, 13, 20)"
"(9, 12, 18)"
"(4, 23, 20)"
"(25, 24, 20)"
"(3, 20, 18)"
"(12, 8, 9)"
"(8, 2, 21)"
"(17, 17, 0)"
"(19, 10, 13)"
"(11, 20, 16)"
"(10, 19, 14)"
"(5, 9, 17)"
"(9, 6, 22)"
"(15, 14, 14)"
"(22, 24, 6)"
"(12, 14, 10)"
"(16, 14, 0)"
"(18, 20, 0)"
"(20, 14, 6)"
"(14, 25, 22)"
"(9, 17, 23)"
"(17, 17, 23)"
"(14, 14, 19)"
"(4, 2, 7)"
"(7, 0, 12)"
"(15, 7, 18)"
"(18, 13, 18)"
"(8, 18, 13)"
"(22, 6, 6)"
"(9, 2, 10)"
"(2, 25, 11)"
"(20, 15, 16)"
"(16, 3, 11)"
"(2, 23, 2)"
"(25, 20, 8)"
"(4, 1, 17)"
"(23, 10, 21)"
"(13, 6, 6)"
"(12, 10, 13)"
"(5, 11, 3)"
"(2, 24, 18)"
"(23, 12, 1)"
"(23, 9, 8)"
"(9, 25, 15)"
"(25, 15, 23)"
"(3, 4, 17)"
