"(20, 24, 12, 34, 22)"
"(3, 35, 34, 41, 10)"
"(1, 26, 1, 16, 1)"
"(6, 1, 24, 0, 21)"
"(23, 7, 9, 33, 40)"
"(0, 12, 3, 30, 18)"
"(9, 30, 19, 35, 14)"
"(40, 22, 12, 38, 36)"
"(27, 41, 2, 29, 18)"
"(6, 5, 22, 33, 28)"
"(16, 22, 25, 33, 34)"
"(13, 17, 42, 11, 22)"
"(13, 34, 5, 35, 11)"
"(4, 5, 6, 27, 17)"
"(35, 18, 1, 24, 7)"
"(23, 3, 12, 5, 15)"
"(1, 1, 40, 2, 32)"
"(25, 41, 19, 10, 22)"
"(34, 16, 20, 35, 26)"
"(5, 34, 4, 36, 14)"
"(25, 9, 12, 1, 8)"
"(0, 29, 27, 18, 15)"
"(22, 31, 42, 5, 32)"
"(31, 25, 10, 13, 37)"
"(14, 1, 32, 6, 16)"
"(13, 12, 13, 37, 30)"
"(41, 2, 3, 12, 21)"
"(21, 26, 15, 33, 16)"
"(27, 16, 38, 5, 14)"
"(42, 31, 24, 35, 37)"
"(42, 40, 18, 31, 3)"
"(24, 24, 30, 1, 32)"
"(25, 4, 4, 33, 26)"
"(32, 8, 11, 40, 11)"
"(27, 28, 7, 6, 30)"
"(32, 12, 18, 13, 10)"
"(37, 10, 30, 27, 34)"
"(0, 41, 4, 30, 26)"
"(6, 26, 38, 32, 19)"
"(33, 13, 39, 38, 8)"
"(38, 16, 40, 12, 22)"
"(4, 10, 40, 33, 17)"
"(4, 17, 21, 0, 7)"
"(2, 1, 7, 39, 41)"
"(17, 22, 28, 4, 12)"
"(7, 17, 41, 31, 4)"
"(41, 7, 1, 10, 3)"
"(18, 36, 6, 42, 39)"
"(9, 8, 32, 33, 21)"
"(9, 7, 42, 39, 3)"
"(34, 34, 26, 28, 33)"
"(31, 6, 8, 13, 38)"
"(16, 19, 22, 33, 15)"
"(39, 4, 12, 9, 15)"
"(27, 30, 20, 14, 39)"
"(39, 18, 27, 40, 29)"
"(0, 21, 25, 15, 6)"
"(2, 20, 10, 36, 22)"
"(15, 22, 11, 41, 4)"
"(10, 25, 39, 2, 22)"
"(38, 1, 23, 30, 24)"
"(35, 38, 12, 17, 20)"
"(38, 8, 11, 4, 13)"
"(31, 35, 0, 5, 30)"
"(26, 37, 2, 17, 13)"
"(39, 15, 30, 30, 7)"
"(4, 17, 4, 0, 0)"
"(12, 35, 26, 18, 16)"
"(41, 1, 3, 29, 0)"
"(15, 13, 31, 19, 1)"
"(23, 8, 9, 30, 1)"
"(24, 22, 23, 41, 42)"
"(15, 20, 38, 34, 38)"
"(2, 13, 17, 26, 15)"
"(39, 23, 19, 6, 16)"
"(30, 23, 32, 13, 28)"
"(29, 7, 20, 14, 6)"
"(13, 9, 42, 15, 23)"
"(12, 2, 10, 35, 34)"
"(42, 17, 14, 35, 25)"
"(17, 31, 4, 17, 33)"
"(40, 30, 34, 19, 41)"
"(11, 4, 15, 19, 1)"
"(15, 37, 33, 13, 30)"
"(32, 7, 35, 14, 39)"
"(27, 40, 15, 24, 20)"
"(12, 4, 10, 0, 42)"
"(13, 21, 32, 30, 37)"
"(10, 32, 26, 25, 32)"
"(23, 34, 35, 13, 25)"
"(34, 7, 2, 37, 14)"
"(16, 30, 39, 31, 37)"
"(23, 24, 17, 4, 33)"
"(11, 4, 4, 42, 4)"
"(6, 5, 26, 11, 42)"
"(38, 16, 41, 17, 36)"
"(33, 32, 29, 11, 24)"
"(3, 36, 34, 32, 26)"
"(0, 39, 38, 11, 28)"
"(13, 15, 42, 14, 7)"
