"(87, 65, 74, 42)"
"(150, 118, 155, 71)"
"(143, 139, 159, 3)"
"(160, 141, 117, 154)"
"(68, 59, 147, 112)"
"(67, 104, 164, 33)"
"(103, 77, 142, 77)"
"(7, 18, 80, 90)"
"(40, 16, 119, 16)"
"(131, 104, 84, 162)"
"(45, 5, 38, 17)"
"(1, 103, 69, 106)"
"(133, 78, 80, 167)"
"(45, 102, 154, 112)"
"(102, 77, 62, 40)"
"(146, 15, 42, 55)"
"(12, 14, 64, 52)"
"(70, 83, 40, 155)"
"(17, 161, 160, 20)"
"(48, 106, 6, 134)"
"(131, 150, 134, 135)"
"(47, 96, 70, 86)"
"(88, 88, 81, 156)"
"(154, 161, 149, 65)"
"(34, 103, 80, 121)"
"(83, 106, 125, 165)"
"(164, 119, 21, 31)"
"(104, 158, 113, 36)"
"(6, 3, 125, 62)"
"(70, 80, 92, 132)"
"(10, 93, 18, 135)"
"(83, 132, 108, 155)"
"(114, 77, 62, 142)"
"(116, 102, 153, 142)"
"(11, 134, 37, 54)"
"(70, 60, 6, 92)"
"(80, 64, 84, 128)"
"(20, 152, 18, 88)"
"(153, 56, 117, 137)"
"(52, 96, 142, 4)"
"(139, 75, 92, 163)"
"(108, 61, 36, 136)"
"(7, 44, 22, 35)"
"(118, 161, 76, 33)"
"(159, 48, 153, 165)"
"(17, 38, 144, 54)"
"(70, 131, 28, 125)"
"(28, 18, 138, 138)"
"(160, 25, 119, 17)"
"(15, 15, 162, 147)"
"(91, 80, 69, 14)"
"(25, 161, 141, 27)"
"(5, 56, 133, 151)"
"(82, 26, 106, 108)"
"(143, 58, 91, 86)"
"(112, 150, 85, 67)"
"(26, 28, 83, 114)"
"(143, 62, 61, 125)"
"(151, 150, 78, 134)"
"(60, 157, 95, 58)"
"(20, 113, 98, 119)"
"(92, 38, 59, 13)"
"(164, 127, 10, 135)"
"(124, 79, 166, 162)"
"(86, 81, 30, 153)"
"(26, 133, 156, 62)"
"(86, 150, 52, 114)"
"(97, 140, 20, 128)"
"(101, 48, 164, 39)"
"(19, 142, 92, 44)"
"(16, 143, 146, 18)"
"(70, 168, 160, 51)"
"(111, 5, 28, 45)"
"(78, 96, 104, 168)"
"(55, 37, 76, 108)"
"(136, 8, 33, 45)"
"(49, 19, 47, 91)"
"(154, 58, 114, 122)"
"(87, 72, 91, 58)"
"(122, 136, 149, 169)"
"(67, 86, 104, 107)"
"(66, 147, 137, 67)"
"(93, 64, 125, 25)"
"(141, 137, 102, 88)"
"(55, 100, 101, 109)"
"(90, 66, 53, 105)"
"(47, 146, 77, 99)"
"(159, 4, 76, 140)"
"(155, 91, 55, 61)"
"(169, 12, 131, 66)"
"(73, 98, 71, 5)"
"(138, 69, 71, 143)"
"(80, 89, 11, 40)"
"(67, 89, 136, 162)"
"(148, 135, 106, 106)"
"(64, 129, 90, 10)"
"(35, 70, 154, 156)"
"(59, 15, 121, 160)"
"(42, 163, 125, 28)"
"(76, 150, 137, 141)"
