"(7, 14, 46, 14)"
"(49, 31, 31, 46)"
"(28, 45, 6, 10)"
"(1, 5, 20, 29)"
"(6, 41, 3, 24)"
"(46, 37, 15, 20)"
"(44, 42, 1, 43)"
"(9, 19, 40, 40)"
"(49, 34, 17, 35)"
"(51, 6, 36, 17)"
"(39, 15, 15, 17)"
"(15, 47, 41, 38)"
"(46, 27, 38, 18)"
"(38, 29, 49, 36)"
"(0, 32, 48, 27)"
"(17, 31, 11, 45)"
"(14, 42, 17, 27)"
"(45, 36, 42, 44)"
"(31, 40, 17, 37)"
"(6, 45, 49, 19)"
"(5, 31, 37, 4)"
"(12, 42, 42, 32)"
"(33, 15, 22, 37)"
"(34, 28, 21, 4)"
"(49, 46, 25, 50)"
"(11, 12, 44, 6)"
"(45, 49, 15, 8)"
"(0, 12, 34, 20)"
"(1, 22, 15, 29)"
"(50, 0, 11, 50)"
"(43, 11, 45, 0)"
"(24, 23, 1, 16)"
"(49, 39, 7, 24)"
"(33, 31, 35, 7)"
"(22, 4, 42, 28)"
"(30, 6, 39, 21)"
"(11, 20, 33, 11)"
"(47, 33, 19, 29)"
"(37, 12, 14, 14)"
"(30, 19, 9, 21)"
"(19, 4, 21, 14)"
"(1, 21, 47, 38)"
"(50, 19, 46, 23)"
"(19, 12, 32, 29)"
"(44, 12, 6, 5)"
"(30, 4, 6, 5)"
"(36, 11, 23, 26)"
"(12, 5, 18, 20)"
"(36, 14, 16, 19)"
"(18, 9, 6, 17)"
"(32, 10, 20, 43)"
"(6, 35, 13, 22)"
"(6, 36, 45, 16)"
"(31, 34, 15, 1)"
"(35, 9, 51, 4)"
"(49, 24, 6, 8)"
"(49, 0, 19, 51)"
"(3, 33, 16, 33)"
"(49, 12, 14, 23)"
"(24, 8, 18, 19)"
"(44, 14, 33, 49)"
"(50, 47, 45, 25)"
"(46, 13, 32, 12)"
"(12, 8, 37, 40)"
"(8, 22, 30, 50)"
"(15, 36, 10, 44)"
"(14, 31, 13, 36)"
"(38, 3, 21, 39)"
"(16, 38, 31, 16)"
"(51, 41, 33, 28)"
"(9, 32, 49, 17)"
"(1, 35, 1, 43)"
"(21, 5, 26, 1)"
"(5, 23, 16, 4)"
"(43, 2, 34, 5)"
"(42, 28, 36, 7)"
"(37, 31, 39, 37)"
"(33, 2, 34, 11)"
"(8, 14, 33, 21)"
"(51, 22, 10, 22)"
"(33, 24, 8, 36)"
"(16, 37, 0, 24)"
"(30, 25, 15, 32)"
"(37, 38, 46, 6)"
"(33, 49, 17, 15)"
"(28, 25, 1, 42)"
"(45, 29, 35, 14)"
"(37, 50, 13, 38)"
"(47, 6, 27, 5)"
"(6, 12, 16, 1)"
"(15, 16, 23, 3)"
"(37, 46, 33, 11)"
"(38, 10, 5, 16)"
"(26, 51, 6, 8)"
"(49, 19, 19, 29)"
"(35, 19, 6, 5)"
"(25, 21, 18, 49)"
"(0, 3, 33, 11)"
"(35, 20, 50, 30)"
"(21, 32, 45, 3)"
