(coef_duration, coef_distance, user, len(pairs))
0.5 0.25 1 3
0.5 0.25 2 47
0.5 0.25 7 18
0.5 0.25 9 42
0.5 0.25 13 22
0.5 0.25 17 6
0.5 0.25 18 11
0.5 0.25 24 53
0.5 0.25 26 9
0.5 0.25 27 8
0.5 0.25 29 4
0.5 0.25 30 9
0.5 0.25 32 14
0.5 0.25 35 8
0.5 0.25 36 1
0.5 0.25 39 13
0.5 0.25 41 6
0.5 0.25 42 113
0.5 0.25 44 0
0.5 0.25 48 1
0.5 0.25 49 14
0.5 0.25 50 75
0.5 0.25 51 2
0.5 0.25 52 0
0.5 0.25 54 6
0.5 0.25 57 2
0.5 0.25 59 73
0.5 0.25 62 52
0.5 0.25 63 38
0.5 0.25 65 25
0.5 0.25 66 22
0.5 0.25 67 26
0.5 0.25 68 18
0.5 0.25 69 122
0.5 0.25 70 2
0.5 0.25 71 10
0.5 0.25 72 110
0.5 0.25 73 22
0.5 0.25 75 54
0.5 0.25 77 1
0.5 0.25 78 7
0.5 0.25 80 0
0.5 0.25 81 49
0.5 0.25 83 15
0.5 0.25 84 4
0.5 0.25 85 0
0.5 0.25 87 4
0.5 0.25 90 0
0.25 0.125 1 3
0.25 0.125 2 42
0.25 0.125 7 20
0.25 0.125 9 41
0.25 0.125 13 23
0.25 0.125 17 4
0.25 0.125 18 10
0.25 0.125 24 42
0.25 0.125 26 9
0.25 0.125 27 8
0.25 0.125 29 4
0.25 0.125 30 8
0.25 0.125 32 13
0.25 0.125 35 6
0.25 0.125 36 1
0.25 0.125 39 12
0.25 0.125 41 5
0.25 0.125 42 75
0.25 0.125 44 0
0.25 0.125 48 1
0.25 0.125 49 11
0.25 0.125 50 65
0.25 0.125 51 1
0.25 0.125 52 0
0.25 0.125 54 4
0.25 0.125 57 2
0.25 0.125 59 58
0.25 0.125 62 44
0.25 0.125 63 34
0.25 0.125 65 29
0.25 0.125 66 22
0.25 0.125 67 11
0.25 0.125 68 11
0.25 0.125 69 109
0.25 0.125 70 4
0.25 0.125 71 8
0.25 0.125 72 79
0.25 0.125 73 23
0.25 0.125 75 47
0.25 0.125 77 1
0.25 0.125 78 6
0.25 0.125 80 0
0.25 0.125 81 51
0.25 0.125 83 15
0.25 0.125 84 4
0.25 0.125 85 0
0.25 0.125 87 4
0.25 0.125 90 0
1.0 0.5 1 4
1.0 0.5 2 52
1.0 0.5 7 16
1.0 0.5 9 40
1.0 0.5 13 21
1.0 0.5 17 9
1.0 0.5 18 12
1.0 0.5 24 54
1.0 0.5 26 8
1.0 0.5 27 8
1.0 0.5 29 4
1.0 0.5 30 9
1.0 0.5 32 18
1.0 0.5 35 9
1.0 0.5 36 1
1.0 0.5 39 14
1.0 0.5 41 7
1.0 0.5 42 106
1.0 0.5 44 0
1.0 0.5 48 1
1.0 0.5 49 17
1.0 0.5 50 70
1.0 0.5 51 2
1.0 0.5 52 0
1.0 0.5 54 6
1.0 0.5 57 2
1.0 0.5 59 75
1.0 0.5 62 50
1.0 0.5 63 39
1.0 0.5 65 26
1.0 0.5 66 22
1.0 0.5 67 27
1.0 0.5 68 19
1.0 0.5 69 119
1.0 0.5 70 3
1.0 0.5 71 10
1.0 0.5 72 100
1.0 0.5 73 21
1.0 0.5 75 52
1.0 0.5 77 1
1.0 0.5 78 8
1.0 0.5 80 0
1.0 0.5 81 46
1.0 0.5 83 15
1.0 0.5 84 4
1.0 0.5 85 0
1.0 0.5 87 4
1.0 0.5 90 0
